molecule,smiles,validity,unique,novelty
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0670>,CCCCCC(CC(C)OCC)S(C)(=O)=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0760>,COC(=O)CCCCCCC1(C)CCCC1,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d02b0>,CC(C)C(C)CCC(C)C(CC=O)C(C)C=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d03a0>,CN(C)CCOC(=O)OCC(C=O)CCN(C)C,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319e99e0>,CC(=O)C(CC(C)C(C)(C#N)C(C)C)C(C)=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0580>,CCC(C)CCPC(C)(C)C,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0490>,CC1C(=O)OC23CC(CCS(=O)(=O)C2)C1C3,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d00d0>,CCCCC(C)CC(C)(C#N)CCC1CCCCC1,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0f30>,CCC(CCCSC)CC1CCCCC1,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0e40>,CCS(=O)(=O)C1CCC2C(C1)C2C1CCCO1,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0d50>,CCCCCCC(C)(C)CCCCSC,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0c60>,CCC(C)CCC(C#N)CC(C)CCCC(CC)CC,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0b70>,CCCN(C)CCCCCOC(=O)OC(C)CC,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d01c0>,C/C(O)=N/c1c(O)c(C#N)c(N(C)C)c2c1CCCC2,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0a80>,CCC(C)CCC(C)OOC,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0990>,CCOC(=O)OCC(C)(C)C(CCCN(C)C)N(C)C,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d07b0>,CCCCC(=O)C(C)CC(CC#N)CCC=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d06c0>,COC(C)CCC(C)CCCC(C)CS(C)(=O)=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d05d0>,CCCOC(=O)OCCC(CC=O)C(CC)OC,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d04e0>,CCC(C)C(C#N)C(C)CCC(C)CC=O,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d08a0>,CCC1(C(=O)OC)CCC2C(C)C(C)C(=O)C21,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0300>,CCOC(=O)OCOC(=O)C1CCN(CC)CC1,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0210>,COC(=O)CC(=O)OC(C)N(C)C,0.996,1.0,0.938
<rdkit.Chem.rdchem.Mol object at 0x7f8f319d0120>,CCCCCCC(C)(C=O)C(CC)OC,0.996,1.0,0.938
